ads_listened_per_week,age,engagement_offline_interaction,engagement_score,is_ad_heavy,is_premium_like,listening_time,low_activity,offline_listening,skip_rate,songs_played_per_day,age_group_adult,age_group_senior,age_group_teen,age_group_young_adult,country_AU,country_CA,country_DE,country_FR,country_IN,country_PK,country_UK,country_US,device_type_Desktop,device_type_Mobile,device_type_Web,gender_Female,gender_Male,gender_Other,skip_rate_bucket_low_skip,skip_rate_bucket_medium_skip,subscription_type_Family,subscription_type_Free,subscription_type_Premium,subscription_type_Student,is_churned
1.7666111683812746,1.2824517604969567,-1.3233113989499135,-1.743504068497684,1.7217203925172955,-1.7217203925172955,-1.5244342797772974,1.7366819677269967,-1.7217203925172955,-0.5768268345800871,-0.9535737143679877,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
-0.5099377861913971,-0.3659564303134208,0.43304767553636836,-0.018026211899964215,-0.5808144018889839,0.5808144018889839,-0.15555524711784283,-0.5758106657310548,0.5808144018889839,0.22970240904641173,0.4173494297159694,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0
-0.5099377861913971,0.026521710355716717,0.7430919778073246,0.40033997875610156,-0.5808144018889839,0.5808144018889839,0.534835917179969,-0.5758106657310548,0.5808144018889839,-1.4985745415818001,-0.4262955820280042,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.5099377861913971,-1.2294083397855233,-0.9470684483562394,-1.8803211200365595,-0.5808144018889839,0.5808144018889839,-1.4054013204156057,1.7366819677269967,0.5808144018889839,0.05687471398359042,-1.6917630996439645,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
-0.5099377861913971,-0.6799389428487308,1.3028476370424562,1.155660560805431,-0.5808144018889839,0.5808144018889839,1.1419040099245967,-0.5758106657310548,0.5808144018889839,0.3449208724216256,0.24159005226930821,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
0.4447440334681103,-1.6218864804546607,-1.3233113989499135,0.545072066334416,1.7217203925172955,-1.7217203925172955,0.7729018359033524,-0.5758106657310548,-1.7217203925172955,0.9210131892976964,-0.5317512084960009,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
-0.5099377861913971,0.10501733848954421,1.5190406910584204,1.4473861748304715,-0.5808144018889839,0.5808144018889839,1.6061325514351943,-0.5758106657310548,0.5808144018889839,0.4601393357968398,-0.2153843290920108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
-0.1427524709377404,0.26200859475719923,-1.3233113989499135,0.8560199107409513,1.7217203925172955,-1.7217203925172955,0.6657721724778299,-0.5758106657310548,-1.7217203925172955,-1.0953099197685507,0.6282606826519628,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
-0.5099377861913971,1.3609473886307841,-0.291785625718705,-0.9960985224877936,-0.5808144018889839,0.5808144018889839,-1.2387551773092373,1.7366819677269967,0.5808144018889839,-0.05834374939162379,0.5579569316732983,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
2.721292988040782,0.4974954791586817,-1.3233113989499135,1.8883667541706488,1.7217203925172955,-1.7217203925172955,1.4751962961373335,-0.5758106657310548,-1.7217203925172955,0.4601393357968398,1.542209445374601,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
