ads_listened_per_week,age,listening_time,offline_listening,skip_rate,songs_played_per_day,country_AU,country_CA,country_DE,country_FR,country_IN,country_PK,country_UK,country_US,device_type_Desktop,device_type_Mobile,device_type_Web,gender_Female,gender_Male,gender_Other,subscription_type_Family,subscription_type_Free,subscription_type_Premium,subscription_type_Student,is_churned
1.7666111683812746,1.2824517604969567,-1.5244342797772974,-1.7217203925172955,-0.5768268345800871,-0.9535737143679877,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
-0.5099377861913971,-0.3659564303134208,-0.15555524711784283,0.5808144018889839,0.22970240904641173,0.4173494297159694,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
-0.5099377861913971,0.026521710355716717,0.534835917179969,0.5808144018889839,-1.4985745415818001,-0.4262955820280042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.5099377861913971,-1.2294083397855233,-1.4054013204156057,0.5808144018889839,0.05687471398359042,-1.6917630996439645,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
-0.5099377861913971,-0.6799389428487308,1.1419040099245967,0.5808144018889839,0.3449208724216256,0.24159005226930821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
0.4447440334681103,-1.6218864804546607,0.7729018359033524,-1.7217203925172955,0.9210131892976964,-0.5317512084960009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
-0.5099377861913971,0.10501733848954421,1.6061325514351943,0.5808144018889839,0.4601393357968398,-0.2153843290920108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
-0.1427524709377404,0.26200859475719923,0.6657721724778299,-1.7217203925172955,-1.0953099197685507,0.6282606826519628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
-0.5099377861913971,1.3609473886307841,-1.2387551773092373,0.5808144018889839,-0.05834374939162379,0.5579569316732983,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
2.721292988040782,0.4974954791586817,1.4751962961373335,-1.7217203925172955,0.4601393357968398,1.542209445374601,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
